Education;JoiningYear;City;PaymentTier (1: HIGHEST 2: MID LEVEL 3:LOWEST);Salary;Age;Gender;ExperienceInCurrentField;LeaveOrNot
Bachelors;2017;Bangalore;3;467;34;Male;0;0
Bachelors;2013;Pune;1;741;28;Female;3;1
Bachelors;2014;New Delhi;3;412;38;Female;2;0
Masters;2016;Bangalore;3;417;27;Male;5;1
Masters;2017;Pune;3;329;24;Male;2;1
Bachelors;2016;Bangalore;3;565;22;Male;0;0
Bachelors;2015;New Delhi;3;533;38;Male;0;0
Bachelors;2016;Bangalore;3;496;34;Female;2;1
Bachelors;2016;Pune;3;420;23;Male;1;0
Masters;2017;New Delhi;2;577;37;Male;2;0
Masters;2012;Bangalore;3;374;27;Male;5;1
Bachelors;2016;Pune;3;574;34;Male;3;0
Bachelors;2018;Pune;3;303;32;Male;5;1
Bachelors;2016;Bangalore;3;516;39;Male;2;0
Bachelors;2012;Bangalore;3;311;37;Male;4;0
Bachelors;2017;Bangalore;1;842;29;Male;3;0
Bachelors;2014;Bangalore;3;540;34;Female;2;0
Bachelors;2014;Pune;3;485;34;Male;4;0
Bachelors;2015;Pune;2;641;30;Female;0;1
Bachelors;2016;New Delhi;2;649;22;Female;0;1
Bachelors;2012;Bangalore;3;347;37;Male;0;0
Masters;2017;New Delhi;2;622;28;Male;4;0
Bachelors;2017;New Delhi;2;665;36;Male;3;0
Bachelors;2015;Bangalore;3;407;27;Male;5;0
Bachelors;2017;Bangalore;3;499;29;Male;4;0
Bachelors;2013;Bangalore;3;503;22;Female;0;0
Bachelors;2016;Bangalore;3;430;37;Male;2;0
Bachelors;2015;Bangalore;3;338;23;Male;1;0
Bachelors;2013;Pune;2;513;31;Female;2;1
Masters;2017;New Delhi;2;663;30;Female;2;0
PHD;2013;New Delhi;3;489;25;Male;3;0
Bachelors;2014;Bangalore;3;467;23;Male;1;0
Bachelors;2018;Bangalore;3;488;26;Male;4;1
Bachelors;2016;Bangalore;3;501;40;Male;5;0
Bachelors;2017;Pune;2;628;37;Female;0;1
Bachelors;2014;Bangalore;1;837;30;Female;3;0
Bachelors;2012;New Delhi;3;351;29;Male;3;0
Bachelors;2018;New Delhi;2;745;34;Female;0;1
Bachelors;2017;Pune;2;752;29;Female;2;1
Bachelors;2014;Pune;3;406;30;Male;4;0
Bachelors;2015;Bangalore;3;577;36;Male;1;0
Masters;2017;New Delhi;2;710;23;Male;1;0
Bachelors;2013;Bangalore;3;502;30;Male;3;1
Bachelors;2014;Bangalore;3;589;36;Male;0;0
Bachelors;2015;Pune;3;595;39;Male;4;0
Bachelors;2014;Bangalore;3;589;23;Female;1;0
PHD;2012;New Delhi;3;565;27;Male;5;0
Masters;2013;New Delhi;3;495;35;Male;2;0
Masters;2017;New Delhi;2;531;34;Male;0;0
Bachelors;2013;Bangalore;3;584;30;Female;1;0
PHD;2017;New Delhi;3;487;34;Male;2;0
Bachelors;2015;Pune;2;704;26;Female;4;1
Bachelors;2016;Bangalore;3;391;34;Female;0;0
Bachelors;2014;Bangalore;3;473;31;Female;5;0
Bachelors;2017;New Delhi;3;584;31;Female;5;0
PHD;2013;New Delhi;3;412;28;Male;2;0
Bachelors;2016;Bangalore;3;541;38;Male;2;0
Masters;2014;Pune;3;321;39;Female;2;0
Bachelors;2013;Pune;3;397;32;Male;4;0
Masters;2017;Pune;2;585;36;Male;2;1
Masters;2013;New Delhi;3;533;29;Male;3;0
Bachelors;2015;Bangalore;3;499;30;Male;5;0
PHD;2013;Bangalore;2;548;25;Male;3;1
Bachelors;2014;Pune;1;809;22;Female;0;1
Bachelors;2016;Bangalore;3;368;34;Male;4;0
Bachelors;2018;Bangalore;3;389;40;Male;1;1
PHD;2013;Bangalore;3;574;26;Male;4;0
Bachelors;2014;New Delhi;3;383;28;Male;0;0
Bachelors;2015;Bangalore;3;467;24;Female;2;0
Masters;2017;Bangalore;3;313;40;Female;2;1
Bachelors;2018;Bangalore;3;354;23;Female;1;1
Masters;2017;Bangalore;3;414;31;Male;4;0
Bachelors;2014;Pune;3;472;25;Female;3;0
Bachelors;2014;Bangalore;1;815;27;Male;5;0
Masters;2017;New Delhi;2;620;25;Female;3;1
Bachelors;2015;Bangalore;3;523;40;Male;0;1
Bachelors;2014;Bangalore;1;749;23;Female;1;0
Bachelors;2017;Bangalore;3;592;23;Female;1;0
Bachelors;2012;Bangalore;3;581;39;Male;1;0
PHD;2015;New Delhi;1;842;37;Male;1;0
Bachelors;2017;Pune;3;469;38;Male;2;0
Bachelors;2013;Bangalore;3;493;31;Female;0;1
Bachelors;2016;Bangalore;3;420;38;Male;5;0
Bachelors;2017;Bangalore;3;309;25;Female;3;0
Bachelors;2015;Bangalore;3;439;27;Female;5;1
Bachelors;2016;Pune;2;735;36;Male;0;1
Bachelors;2017;Pune;2;735;27;Female;5;1
Masters;2015;Pune;2;542;32;Female;4;0
Bachelors;2014;Bangalore;3;528;28;Male;4;0
Masters;2012;New Delhi;3;434;32;Male;2;0
Bachelors;2018;Bangalore;3;437;30;Male;0;1
Bachelors;2015;New Delhi;3;363;22;Male;0;0
Bachelors;2017;New Delhi;2;539;34;Female;5;0
Masters;2013;New Delhi;3;350;36;Male;2;0
Bachelors;2014;Bangalore;3;509;39;Male;3;1
PHD;2018;Bangalore;3;374;26;Male;4;1
Bachelors;2016;Bangalore;3;386;31;Female;0;0
Bachelors;2014;Bangalore;3;436;27;Male;5;1
Bachelors;2014;Bangalore;3;513;29;Female;0;0
Bachelors;2015;Bangalore;3;523;24;Female;2;1
Masters;2012;Pune;3;425;25;Male;3;1
Bachelors;2013;Pune;3;584;25;Male;3;0
Masters;2017;New Delhi;3;529;26;Female;4;1
Bachelors;2015;Pune;2;649;28;Female;1;1
Bachelors;2017;New Delhi;3;301;28;Male;2;0
Masters;2015;Pune;1;714;28;Female;3;1
Masters;2015;New Delhi;3;419;25;Male;3;0
Bachelors;2017;Bangalore;3;491;28;Male;1;0
Masters;2013;Pune;3;371;25;Male;3;0
Bachelors;2015;Bangalore;2;616;25;Female;3;1
