kecamatan,kelurahan,jumlah_pasangan_usia_subur,jumlah_target_pus,jumlah_pus_istrinya_kurang_dari_20_tahun,jumlah_pus_tidak_terpenuhi_berkb,jumlah_akseptor_kb,jumlah_peserta_kb_baru,jumlah_peserta_kb_aktif,penambahanpengurangan_peserta_kb_aktif,jumlah_peserta_kb_baru_yang_menggunakan_mkjp,prosentase_peserta_kb_aktif,jumlah_peserta_kb_aktif_yang_dropout_kontrasepsi
KARANG PILANG,KARANG PILANG,9947,9947,1,1631,6396,18,6341,219,1,63.74786368,74
WONOCOLO,WONOCOLO,8695,8695,0,1923,4800,5,4772,234,1,54.88211616,36
RUNGKUT,RUNGKUT,16271,16271,0,3121,10574,143,10527,808,2,64.69792883,33
WONOKROMO,WONOKROMO,16669,16669,0,2859,11102,69,11042,817,2,66.24272602,3
TEGALSARI,TEGALSARI,9029,9029,6,1989,5622,10,5587,283,0,61.87839185,46
SAWAHAN,SAWAHAN,20273,20273,0,3991,12009,21,11894,708,5,58.66916589,4
GENTENG,GENTENG,5577,5577,0,992,3889,4,3874,212,1,69.46386946,31
GUBENG,GUBENG,12028,12028,0,2607,6579,7,6484,268,0,53.90754905,65
SUKOLILO,SUKOLILO,11738,11738,0,2460,7683,22,7663,572,0,65.28369399,53
TAMBAKSARI,TAMBAKSARI,25865,25865,2,5119,16283,28,15890,1155,3,61.43437077,80
SIMOKERTO,SIMOKERTO,9409,9409,3,1364,6234,55,6215,207,0,66.0537783,35
PABEAN CANTIAN,PABEAN CANTIAN,7604,7604,5,1061,5177,22,5144,187,0,67.648606,18
BUBUTAN,BUBUTAN,11277,11277,0,1952,6636,12,6588,224,0,58.4197925,0
TANDES,TANDES,10882,10882,0,1910,6198,16,6140,283,4,56.42345157,1
KREMBANGAN,KREMBANGAN,12714,12714,0,2035,7506,12,7426,272,4,58.40805411,86
SEMAMPIR,SEMAMPIR,18713,18713,0,2734,11508,7,11426,489,2,61.05915674,123
KENJERAN,KENJERAN,23459,23459,0,3207,15465,70,15397,632,3,65.63365872,154
LAKARSANTRI,LAKARSANTRI,7910,7910,0,1010,5747,5,5714,304,1,72.23767383,0
BENOWO,BENOWO,11738,11738,0,2165,7483,15,7445,341,0,63.42647811,47
WIYUNG,WIYUNG,8708,8708,0,1358,5631,11,5554,138,1,63.78043179,38
DUKUH PAKIS,DUKUH PAKIS,7189,7189,0,1384,4731,5,4685,234,1,65.16900821,36
GAYUNGAN,GAYUNGAN,4277,4277,0,939,2878,7,2843,182,4,66.47182605,1
JAMBANGAN,JAMBANGAN,7010,7010,0,1088,5190,19,5143,322,2,73.36661912,0
TENGGILIS MEJOYO,TENGGILIS MEJOYO,8534,8534,0,1587,4935,18,4893,152,1,57.33536442,39
GUNUNG ANYAR,GUNUNG ANYAR,7470,7470,0,1587,4609,9,4564,243,3,61.09772423,28
MULYOREJO,MULYOREJO,6747,6747,0,1395,4659,57,4589,219,2,68.01541426,25
SUKOMANUNGGAL,SUKOMANUNGGAL,9880,9880,1,1803,6522,13,6498,322,0,65.76923077,45
ASEM ROWO,ASEM ROWO,6343,6343,0,780,5098,9,5071,283,2,79.9463976,49
BULAK,BULAK,7349,7349,1,1242,4926,8,4898,164,1,66.64852361,59
PAKAL,PAKAL,8938,8938,0,1455,6116,12,6084,234,1,68.06891922,22
SAMBIKEREP,SAMBIKEREP,8797,8797,0,1234,6393,14,6357,156,1,72.26327157,41
