Bulan,kecamatan,kelurahan,jumlah_pasangan_usia_subur,jumlah_target_pus,jumlah_pus_istrinya_kurang_dari_20_tahun,jumlah_pus_tidak_terpenuhi_berkb,jumlah_akseptor_kb,jumlah_peserta_kb_baru,jumlah_peserta_kb_aktif,penambahanpengurangan_peserta_kb_aktif,jumlah_peserta_kb_baru_yang_menggunakan_mkjp,prosentase_peserta_kb_aktif,jumlah_peserta_kb_aktif_yang_dropout_kontrasepsi
Januari 2023,KARANG PILANG,KARANG PILANG,9152,9152,0,1854,4854,0,4793,4793,0,52.37106643,74
Januari 2023,WONOCOLO,WONOCOLO,7937,7937,0,2154,3318,5,3286,3279,7,41.40103314,36
Januari 2023,RUNGKUT,RUNGKUT,14907,14907,0,3563,6996,2,6941,6941,0,46.56201784,33
Januari 2023,WONOKROMO,WONOKROMO,15274,15274,0,3222,7578,16,7512,7500,12,49.18161582,3
Januari 2023,TEGALSARI,TEGALSARI,8198,8198,7,2255,3874,11,3833,3817,16,46.75530617,46
Januari 2023,SAWAHAN,SAWAHAN,19371,19371,0,4624,9113,0,8992,8990,2,46.41990605,4
Januari 2023,GENTENG,GENTENG,4763,4763,0,1114,2440,7,2420,2415,5,50.80831409,31
Januari 2023,GUBENG,GUBENG,10943,10943,0,3000,5021,23,4916,4916,0,44.92369551,65
Januari 2023,SUKOLILO,SUKOLILO,10884,10884,0,2820,4999,13,4975,4961,14,45.70929805,53
Januari 2023,TAMBAKSARI,TAMBAKSARI,24389,24389,3,6002,11707,0,11293,11273,20,46.30366149,80
Januari 2023,SIMOKERTO,SIMOKERTO,8787,8787,2,1647,4693,49,4672,4672,0,53.16945488,35
Januari 2023,PABEAN CANTIAN,PABEAN CANTIAN,6917,6917,4,1278,3781,10,3744,3744,0,54.12751193,18
Januari 2023,BUBUTAN,BUBUTAN,10276,10276,0,2247,5146,0,5097,5090,7,49.60101207,0
Januari 2023,TANDES,TANDES,9578,9578,0,2209,4635,8,4571,4558,13,47.72395072,1
Januari 2023,KREMBANGAN,KREMBANGAN,11855,11855,0,2514,5962,9,5875,5866,9,49.55714888,86
Januari 2023,SEMAMPIR,SEMAMPIR,17684,17684,0,3409,9426,10,9336,9332,4,52.79348564,123
Januari 2023,KENJERAN,KENJERAN,22385,22385,0,4277,12844,21,12765,12764,1,57.02479339,154
Januari 2023,LAKARSANTRI,LAKARSANTRI,7204,7204,0,1148,4064,14,4029,4029,0,55.92726263,0
Januari 2023,BENOWO,BENOWO,11065,11065,0,2521,5739,7,5696,5692,4,51.47763217,47
Januari 2023,WIYUNG,WIYUNG,7980,7980,0,1549,4352,62,4274,4274,0,53.55889724,38
Januari 2023,DUKUH PAKIS,DUKUH PAKIS,6549,6549,0,1547,3198,2,3147,3142,5,48.05313788,36
Januari 2023,GAYUNGAN,GAYUNGAN,3574,3574,0,1029,1537,10,1502,1502,0,42.02574147,1
Januari 2023,JAMBANGAN,JAMBANGAN,6493,6493,0,1226,3263,0,3209,3209,0,49.42245495,0
Januari 2023,TENGGILIS MEJOYO,TENGGILIS MEJOYO,7822,7822,0,1834,3684,0,3634,3634,0,46.45870621,39
Januari 2023,GUNUNG ANYAR,GUNUNG ANYAR,6933,6933,0,1793,3041,0,2994,2994,0,43.1847685,28
Januari 2023,MULYOREJO,MULYOREJO,6186,6186,0,1585,3041,2,2970,2970,0,48.01163919,25
Januari 2023,SUKOMANUNGGAL,SUKOMANUNGGAL,9124,9124,1,2064,4612,24,4583,4582,1,50.23016221,45
Januari 2023,ASEM ROWO,ASEM ROWO,5675,5675,0,928,3421,3,3392,3392,0,59.77092511,49
Januari 2023,BULAK,BULAK,6696,6696,0,1411,3657,8,3625,3625,0,54.13679809,59
Januari 2023,PAKAL,PAKAL,8368,8368,0,1657,4677,0,4638,4638,0,55.42543021,22
Januari 2023,SAMBIKEREP,SAMBIKEREP,8141,8141,0,1437,5110,0,5072,5072,0,62.30192851,41
Februari 2023,KARANG PILANG,KARANG PILANG,9470,9470,0,1661,5535,1,5480,687,7,57.86694826,0
Februari 2023,WONOCOLO,WONOCOLO,8248,8248,0,1962,3927,1,3898,612,2,47.2599418,0
Februari 2023,RUNGKUT,RUNGKUT,15209,15209,0,3175,8424,0,8377,1436,8,55.0792294,0
Februari 2023,WONOKROMO,WONOKROMO,15565,15565,0,2904,8909,39,8848,1336,22,56.84548667,0
Februari 2023,TEGALSARI,TEGALSARI,8492,8492,8,2025,4616,0,4581,748,6,53.94488931,0
Februari 2023,SAWAHAN,SAWAHAN,19695,19695,0,4068,10089,0,9972,980,6,50.63214014,0
Februari 2023,GENTENG,GENTENG,5104,5104,0,1010,3059,0,3044,624,5,59.63949843,0
Februari 2023,GUBENG,GUBENG,11205,11205,0,2650,5629,8,5532,616,12,49.3708166,0
Februari 2023,SUKOLILO,SUKOLILO,11172,11172,0,2488,5986,6,5966,991,11,53.40136054,0
Februari 2023,TAMBAKSARI,TAMBAKSARI,24650,24650,9,5199,13367,0,12968,1675,26,52.60851927,0
Februari 2023,SIMOKERTO,SIMOKERTO,9053,9053,0,1379,5366,51,5346,674,4,59.05224787,0
Februari 2023,PABEAN CANTIAN,PABEAN CANTIAN,7178,7178,2,1074,4381,9,4348,604,4,60.57397604,0
Februari 2023,BUBUTAN,BUBUTAN,10543,10543,0,1985,5768,0,5720,623,8,54.2540074,0
Februari 2023,TANDES,TANDES,9905,9905,0,1936,5236,19,5175,604,5,52.24634023,0
Februari 2023,KREMBANGAN,KREMBANGAN,12149,12149,1,2069,6564,7,6484,609,3,53.37064779,0
Februari 2023,SEMAMPIR,SEMAMPIR,18008,18008,0,2760,10079,1,9997,661,7,55.5142159,0
Februari 2023,KENJERAN,KENJERAN,22719,22719,0,3245,13719,44,13651,886,22,60.0862714,0
Februari 2023,LAKARSANTRI,LAKARSANTRI,7497,7497,0,1025,4737,4,4704,675,1,62.74509804,0
Februari 2023,BENOWO,BENOWO,11379,11379,0,2203,6411,7,6372,676,4,55.99789085,0
Februari 2023,WIYUNG,WIYUNG,8304,8304,0,1375,4953,35,4876,602,5,58.71868979,0
